run_id,token_count,length_bucket,generator_group
run_001,12,1_20,known
run_002,13,1_20,known
run_003,14,1_20,known
run_004,15,1_20,known
run_005,16,1_20,known
run_006,17,1_20,known
run_007,18,1_20,known
run_008,19,1_20,known
run_009,12,1_20,known
run_010,13,1_20,known
run_011,14,1_20,known
run_012,15,1_20,known
run_013,16,1_20,known
run_014,17,1_20,known
run_015,18,1_20,known
run_016,19,1_20,known
run_017,12,1_20,known
run_018,13,1_20,known
run_019,14,1_20,known
run_020,15,1_20,known
run_021,16,1_20,known
run_022,17,1_20,known
run_023,18,1_20,known
run_024,19,1_20,known
run_025,12,1_20,known
run_026,13,1_20,known
run_027,14,1_20,known
run_028,15,1_20,known
run_029,16,1_20,known
run_030,17,1_20,known
run_031,18,1_20,known
run_032,19,1_20,known
run_033,12,1_20,known
run_034,13,1_20,known
run_035,14,1_20,known
run_036,15,1_20,known
run_037,16,1_20,known
run_038,17,1_20,known
run_039,18,1_20,known
run_040,19,1_20,known
run_041,65,21_100,known
run_042,66,21_100,known
run_043,67,21_100,known
run_044,68,21_100,known
run_045,69,21_100,known
run_046,70,21_100,known
run_047,71,21_100,known
run_048,72,21_100,known
run_049,73,21_100,known
run_050,74,21_100,known
run_051,75,21_100,known
run_052,76,21_100,known
run_053,77,21_100,known
run_054,78,21_100,known
run_055,79,21_100,known
run_056,80,21_100,known
run_057,81,21_100,known
run_058,82,21_100,known
run_059,83,21_100,known
run_060,84,21_100,known
run_061,55,21_100,known
run_062,56,21_100,known
run_063,57,21_100,known
run_064,58,21_100,known
run_065,59,21_100,known
run_066,60,21_100,known
run_067,61,21_100,known
run_068,62,21_100,known
run_069,63,21_100,known
run_070,64,21_100,known
run_071,65,21_100,known
run_072,66,21_100,known
run_073,67,21_100,known
run_074,68,21_100,known
run_075,69,21_100,known
run_076,70,21_100,known
run_077,71,21_100,known
run_078,72,21_100,known
run_079,73,21_100,known
run_080,74,21_100,known
run_081,75,21_100,known
run_082,76,21_100,known
run_083,77,21_100,known
run_084,78,21_100,known
run_085,79,21_100,known
run_086,80,21_100,known
run_087,81,21_100,known
run_088,82,21_100,known
run_089,83,21_100,known
run_090,84,21_100,known
run_091,55,21_100,known
run_092,56,21_100,known
run_093,57,21_100,known
run_094,58,21_100,known
run_095,59,21_100,known
run_096,60,21_100,known
run_097,61,21_100,known
run_098,62,21_100,known
run_099,63,21_100,known
run_100,64,21_100,known
run_101,65,21_100,known
run_102,66,21_100,known
run_103,67,21_100,known
run_104,68,21_100,known
run_105,69,21_100,known
run_106,70,21_100,known
run_107,71,21_100,known
run_108,72,21_100,known
run_109,73,21_100,known
run_110,74,21_100,known
run_111,75,21_100,known
run_112,76,21_100,known
run_113,77,21_100,known
run_114,78,21_100,known
run_115,79,21_100,known
run_116,80,21_100,known
run_117,81,21_100,known
run_118,82,21_100,known
run_119,83,21_100,known
run_120,84,21_100,known
run_121,290,101_500,known
run_122,291,101_500,known
run_123,292,101_500,known
run_124,293,101_500,known
run_125,294,101_500,known
run_126,295,101_500,known
run_127,296,101_500,known
run_128,297,101_500,known
run_129,298,101_500,known
run_130,299,101_500,known
run_131,300,101_500,known
run_132,301,101_500,known
run_133,302,101_500,known
run_134,303,101_500,known
run_135,304,101_500,known
run_136,305,101_500,known
run_137,306,101_500,known
run_138,307,101_500,known
run_139,308,101_500,known
run_140,309,101_500,known
run_141,310,101_500,known
run_142,311,101_500,known
run_143,312,101_500,known
run_144,313,101_500,known
run_145,314,101_500,known
run_146,315,101_500,known
run_147,316,101_500,known
run_148,317,101_500,known
run_149,318,101_500,known
run_150,319,101_500,known
run_151,320,101_500,mephi
run_152,321,101_500,mephi
run_153,322,101_500,mephi
run_154,323,101_500,mephi
run_155,324,101_500,mephi
run_156,325,101_500,emerging
run_157,326,101_500,emerging
run_158,327,101_500,emerging
run_159,328,101_500,emerging
run_160,329,101_500,emerging
run_161,330,101_500,emerging
run_162,331,101_500,emerging
run_163,332,101_500,emerging
run_164,333,101_500,emerging
run_165,334,101_500,emerging
run_166,335,101_500,emerging
run_167,336,101_500,emerging
run_168,337,101_500,emerging
run_169,338,101_500,emerging
run_170,339,101_500,emerging
run_171,1370,501_3000,emerging
run_172,1371,501_3000,emerging
run_173,1372,501_3000,emerging
run_174,1373,501_3000,emerging
run_175,1374,501_3000,emerging
run_176,1375,501_3000,noise
run_177,1376,501_3000,noise
run_178,1377,501_3000,noise
run_179,1378,501_3000,noise
run_180,1379,501_3000,noise
run_181,1380,501_3000,noise
run_182,1381,501_3000,noise
run_183,1382,501_3000,noise
run_184,1383,501_3000,noise
run_185,1384,501_3000,noise
run_186,1385,501_3000,noise
run_187,1386,501_3000,noise
run_188,1387,501_3000,noise
run_189,1388,501_3000,noise
run_190,1389,501_3000,noise
run_191,5390,3001_10000,noise
run_192,5391,3001_10000,noise
run_193,5392,3001_10000,noise
run_194,5393,3001_10000,noise
run_195,5394,3001_10000,noise
run_196,5395,3001_10000,noise
run_197,5396,3001_10000,noise
run_198,5397,3001_10000,noise
run_199,100000,exact_100000,noise
run_200,100000,exact_100000,noise
